"title","year","length","budget","rating","votes","mpaa"
"Decoy",1995,98,NA,4.6,118,"R"
"Decoys",2004,95,5000000,4.2,580,"R"
"Deep Blue Sea",1999,105,78000000,5.5,17666,"R"
"Deep Core",2000,80,NA,3.3,257,"PG-13"
"Deep Down",1994,85,NA,3.5,43,"R"
"Deep End of the Ocean, The",1999,106,40000000,5.9,2890,"PG-13"
"Deep End, The",2001,101,3000000,6.8,3524,"R"
"Deep Impact",1998,120,75000000,5.9,22684,"PG-13"
"Deep Rising",1998,97,45000000,5.4,4626,"R"
"Defender, The",2004,90,6000000,6.3,58,"R"
"Defiance",2002,72,NA,3.4,23,"R"
"Dei seung chui keung",2001,89,NA,4.9,17,"PG-13"
"Deliver Us from Eva",2003,105,NA,5.8,786,"R"
"Delivered",1998,93,1000000,5.1,73,"R"
"Delivering Milo",2001,94,NA,4.9,201,"PG"
"Dellamorte Dellamore",1994,105,4000000,7.3,2313,"R"
"Delta Force One: The Lost Patrol",1999,93,NA,3.1,57,"R"
"Delta of Venus",1995,95,NA,4.8,312,"NC-17"
"Demolition High",1996,84,NA,3.7,187,"R"
"Demolitionist, The",1995,100,1000000,4.1,238,"R"
"Demon Island",2002,85,NA,2.7,465,"R"
"Demonlover",2002,117,NA,5.6,829,"R"
"Denise Calls Up",1995,80,NA,6.8,493,"PG-13"
"Dennis the Menace",1993,94,NA,4.8,3579,"PG"
"Dentist II, The",1998,100,1800000,4.1,401,"R"
"Dentist, The",1996,92,NA,4.7,1026,"R"
"Derailed",2002,89,18000000,3.4,1075,"R"
"Desert Blue",1998,90,NA,6.2,677,"R"
"Desert Blues",1995,90,NA,2.3,8,"R"
"Desert Saints",2002,91,NA,6.1,554,"R"
"Desesperados, Los",1969,105,NA,5.6,27,"PG-13"
"Designated Mourner, The",1997,94,NA,6.5,102,"R"
"Desires of Innocence",1997,88,NA,1.7,23,"R"
"Desperado",1995,106,7000000,6.8,17929,"R"
"Desperate But Not Serious",1999,94,NA,3.9,137,"R"
"Desperate Measures",1998,100,NA,5.6,2956,"R"
"Destination Vegas",1995,78,NA,2.5,45,"R"
"Destino",2003,7,1500000,7.8,156,"PG"
"Destiny Turns on the Radio",1995,102,NA,4.1,658,"R"
"Detention",2003,98,10000000,4.1,223,"R"
"Detonator",2003,92,NA,4,52,"R"
"Detour",1999,93,NA,4.3,94,"R"
"Detroit Rock City",1999,95,15000000,6,4607,"R"
"Deuce Bigalow: Male Gigolo",1999,88,18000000,5.6,9897,"R"
"Deuce Coupe",1992,106,NA,4.3,26,"PG-13"
"Deuces Wild",2002,100,10000000,5.3,1511,"R"
"Deviants, The",2004,80,NA,5.2,93,"R"
"Devil in a Blue Dress",1995,102,NA,6.5,2483,"R"
"Devil's Advocate, The",1997,144,57000000,7,26904,"R"
"Devil's Harvest",2003,92,NA,3.7,23,"R"
"Devil's Own, The",1997,111,80000000,5.7,8485,"R"
"Devil's Pond",2003,92,5000000,5.6,370,"R"
"Devil's Prey",2001,88,NA,3.2,237,"R"
"Devious Beings",2002,97,NA,3.5,83,"R"
"Devotion",1995,123,NA,5.1,9,"R"
"DiG!",2004,107,NA,8,350,"R"
"Diabolique",1996,107,NA,5,3103,"R"
"Diagnosis: Murder",1975,95,NA,6.1,34,"PG-13"
"Diamond Men",2000,100,NA,6.8,511,"R"
"Diamond Run",1996,110,NA,2.6,18,"R"
"Diamonds",1999,91,NA,5.4,407,"PG-13"
"Diarios de motocicleta",2004,128,NA,8,8479,"R"
"Diary of a City Priest",2001,77,NA,6.1,36,"PG-13"
"Diary of a Mad Black Woman",2005,116,5500000,3.9,837,"PG-13"
"Diary of a Sex Addict",2001,93,NA,2.9,333,"R"
"Dick",1999,94,13000000,6.3,5004,"PG-13"
"Dickie Roberts: Former Child Star",2003,98,17000000,5.5,2076,"PG-13"
"Die Another Day",2002,133,142000000,6.4,22136,"PG-13"
"Die Hard: With a Vengeance",1995,131,90000000,7,25258,"R"
"Die xue shuang xiong",1989,104,NA,8,9323,"R"
"Die, Mommie, Die",2003,90,NA,6.2,538,"R"
"Different Loyalty, A",2004,96,13000000,5,135,"R"
"Different Strokes",1998,75,NA,3.1,116,"R"
"Different for Girls",1996,92,NA,6.8,534,"R"
"Digging to China",1998,98,NA,6.4,528,"PG"
"Digimon: The Movie",2000,82,5000000,3.4,455,"PG"
"Digital Man",1995,95,NA,4.6,83,"R"
"Dill Scallion",1999,91,500000,5.1,136,"PG-13"
"Dillinger and Capone",1995,95,NA,4.4,83,"R"
"Dinner Rush",2000,99,NA,7.3,1231,"R"
"Dinner at Fred's",1999,93,NA,5.1,70,"PG-13"
"Dinosaur",2000,82,127500000,6.3,5839,"PG"
"Diplomatic Siege",1999,96,45000000,3.5,340,"R"
"Direct Action",2004,97,NA,5.3,66,"R"
"Dirt",2001,102,NA,5.5,95,"R"
"Dirty Dancing: Havana Nights",2004,86,NA,5.4,1667,"PG-13"
"Dirty Deeds",2002,97,NA,6.2,761,"R"
"Dirty Dingus Magee",1970,91,NA,5.2,145,"PG-13"
"Dirty Pretty Things",2002,97,10000000,7.6,6274,"R"
"Dirty Shame, A",2004,89,NA,6.1,472,"R"
"Dirty Work",1998,82,13000000,5.9,4252,"PG-13"
"Disappearance of Garcia Lorca, The",1997,114,NA,5.9,292,"R"
"Disappearance of Kevin Johnson, The",1997,105,NA,5.8,108,"R"
"Disaster",2001,90,NA,2.6,45,"R"
"Dish, The",2000,97,NA,7.3,4629,"PG-13"
"Distraction, The",1999,86,NA,5.9,19,"R"
"Disturbing Behavior",1998,84,15000000,5.1,4620,"R"
"Divine Secrets of the Ya-Ya Sisterhood",2002,116,27000000,5.5,4288,"PG-13"
"Divorce, Le",2003,117,NA,4.9,2314,"PG-13"
"Do Me a Favor",1997,103,NA,5.1,101,"R"
"Do Not Disturb",1999,94,NA,4.7,678,"R"
"Do You Wanna Know a Secret?",2001,90,NA,2.8,205,"R"
"Dobermann",1997,103,NA,6.5,2791,"R"
"Doctor Dolittle",1998,85,71500000,5.4,8287,"PG-13"
"Doctor Sleep",2002,108,10000000,6.2,609,"R"
"Doctor Zhivago",1965,200,11000000,7.9,10283,"PG-13"
"Dodgeball: A True Underdog Story",2004,92,20000000,6.6,14584,"PG-13"
"Dog Gone Love",2004,89,NA,5.8,27,"R"
"Dog Park",1998,91,NA,5.4,802,"R"
"Dog Soldiers",2002,104,NA,6.8,5782,"R"
"Dog of Flanders, A",1999,100,7000000,6,179,"PG"
"Dogma",1999,130,10000000,7.3,43391,"R"
"Dogs: The Rise and Fall of an All-Girl Bookie Joint",1996,80,NA,3.8,28,"R"
"Dogtown and Z-Boys",2001,91,NA,7.4,1555,"PG-13"
"Dogville",2003,135,NA,8,14307,"R"
"Dolly Dearest",1992,93,NA,3.7,168,"R"
"Dolores Claiborne",1995,132,NA,7.2,5446,"R"
"Dom durakov",2002,104,2500000,6.8,382,"R"
"Domestic Disturbance",2001,91,53000000,5.4,4445,"PG-13"
"Dominion",1995,95,1300000,5,85,"R"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",1996,89,NA,5.7,3515,"R"
"Don't Do It",1994,90,NA,3.6,70,"R"
"Don't Let Go",2002,87,NA,7.9,9,"R"
"Don't Say a Word",2001,113,50000000,6.2,10098,"R"
"Don't Sleep Alone",1997,97,NA,1.9,17,"R"
"Donnie Brasco",1997,127,35000000,7.6,20029,"R"
"Donnie Darko",2001,133,4500000,8.3,51961,"R"
"Donor, The",1997,94,NA,4.6,67,"R"
"Doom Generation, The",1995,72,NA,5,2780,"R"
"Doomsdayer",2000,93,NA,4.3,70,"R"
"Door in the Floor, The",2004,111,NA,6.9,1947,"R"
"Doorway, The",2000,90,NA,4,118,"R"
"Dopamine",2003,85,NA,5.2,355,"R"
"Dot the I",2003,92,NA,6.7,617,"R"
"Double Bang",2001,104,NA,5.2,135,"R"
"Double Deception",2001,87,NA,4.3,43,"R"
"Double Happiness",1994,87,NA,7.2,356,"PG-13"
"Double Jeopardy",1999,105,40000000,5.9,13587,"R"
"Double Take",1997,86,NA,5,103,"R"
"Double Take",2001,91,24000000,4.8,1503,"PG-13"
"Double Tap",1997,87,8000000,5.3,184,"R"
"Double Team",1997,93,NA,3.9,2857,"R"
"Double Whammy",2001,100,4000000,5.6,886,"R"
"Down 'n Dirty",2000,102,NA,3.1,57,"R"
"Down Periscope",1996,92,NA,5.2,3247,"PG-13"
"Down Time",2001,90,20000,3.5,55,"R"
"Down and Derby",2005,93,NA,5.8,17,"PG"
"Down and Out with the Dolls",2001,88,1200000,6,37,"R"
"Down for the Barrio",1997,87,NA,1.3,13,"R"
"Down in the Delta",1998,112,NA,7,427,"PG-13"
"Down to Earth",2001,87,30000000,5.1,3720,"PG-13"
"Down to You",2000,91,9000000,4.7,3232,"PG-13"
"Down with Love",2003,101,NA,6.5,7426,"PG-13"
"Downward Angel",2001,97,NA,3.9,41,"R"
"Dr T and the Women",2000,122,12000000,4.8,4776,"R"
"Dr. Dolittle 2",2001,87,72000000,5.1,4920,"PG"
"Dr. Jekyll and Ms. Hyde",1995,90,8000000,4.2,573,"PG-13"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,1800000,8.7,63471,"PG"
"Dracula",1992,128,40000000,7.1,19972,"R"
"Dracula 2000",2000,99,28000000,4.9,5364,"R"
"Dracula 3000",2004,86,NA,1.8,392,"R"
"Dracula II: Ascension",2003,85,NA,4.2,537,"R"
"Dracula: Dead and Loving It",1995,88,NA,4.6,3557,"PG-13"
"Dragonfly",2002,104,60000000,5.8,5431,"PG-13"
"Drawn to the Flame",1997,92,NA,4.5,20,"R"
"Dream Warrior",2004,95,NA,2.7,57,"R"
"Dream for an Insomniac",1996,90,NA,6,865,"R"
"Dreamcatcher",2003,134,68000000,5.2,10403,"R"
"Dreamers, The",2003,112,NA,7,4936,"R"
"Dreaming of Joseph Lees",1999,92,NA,5.1,257,"R"
"Dreammaster: The Erotic Invader",1996,86,NA,4.2,45,"R"
"Drive",1997,117,3500000,6.4,1086,"R"
"Drive Me Crazy",1999,91,8000000,5.1,2934,"PG-13"
"Driven",2001,116,72000000,4.4,7129,"PG-13"
"Droid Gunner",1995,90,NA,3.1,77,"R"
"Drop Dead Roses",2001,93,NA,2,118,"R"
"Drowning Mona",2000,95,16000000,5.4,3454,"PG-13"
"Drowning on Dry Land",1999,88,NA,5.1,42,"R"
"Drumline",2002,118,20000000,5.3,7368,"PG-13"
"Drunks",1995,90,NA,6,321,"R"
"Drylongso",1998,86,NA,6.5,24,"R"
"Duct Tape Forever",2002,90,NA,5.7,216,"PG"
"Dude, Where's My Car?",2000,83,13000000,4.6,13330,"PG-13"
"Dudley Do-Right",1999,77,22000000,3.6,1790,"PG"
"Duets",2000,112,15000000,5.8,2414,"R"
"Duma",2005,100,NA,8.4,20,"PG"
"Dumb & Dumber",1994,101,16000000,6.6,27713,"PG-13"
"Dumb and Dumberer: When Harry Met Lloyd",2003,85,19000000,3.3,4689,"PG-13"
"Dummy",2002,90,NA,6.8,1022,"R"
"Dung fong saam hap",1993,86,NA,6.7,726,"R"
"Dung fong tuk ying",1986,93,NA,7.2,220,"R"
"Dungeons & Dragons",2000,107,35000000,4,7435,"PG-13"
"Dunston Checks In",1996,88,NA,4.7,1017,"PG"
"Dunwich Horror, The",1970,90,NA,4.4,426,"R"
"Duplex",2003,89,40000000,5.7,4334,"PG-13"
"Durango Kids",1999,87,NA,4.3,65,"PG"
"Dust to Glory",2005,97,NA,7.6,57,"PG"
"Dusting Cliff 7",1996,95,1300000,3.5,80,"R"
"DysFunktional Family",2003,89,3000000,5.6,207,"R"
"E.T. the Extra-Terrestrial",1982,120,10500000,7.8,44175,"PG"
"Easier Said",1999,94,NA,3.4,39,"R"
"East of Eden",1955,115,NA,7.8,3802,"PG"
"Eastside",1999,94,NA,4.9,55,"R"
"Easy",2003,99,NA,4.2,204,"R"
"Easy Come, Easy Go",1967,95,NA,3.8,165,"PG"
"Easy Six",2003,90,NA,5,37,"R"
"Ed",1996,94,NA,2.8,562,"PG"
"Ed Wood",1994,127,18000000,8,22612,"R"
"Ed's Next Move",1996,88,NA,6.2,210,"R"
"Eddie",1996,100,30000000,4.9,1348,"PG-13"
"Eden",1996,106,NA,5.7,138,"R"
"Eden Myth, The",1999,88,NA,6.4,158,"R"
"Edge of Madness",2002,99,NA,6.4,106,"R"
"Edge of Sanity",1989,85,NA,4.5,154,"R"
"Edge, The",1997,117,NA,6.6,6035,"R"
"Edges of the Lord",2001,95,7500000,7,639,"R"
"Edtv",1999,122,60000000,6.2,10085,"PG-13"
"Education of Little Tree, The",1997,112,NA,6.9,291,"PG"
"Eight Crazy Nights",2002,76,NA,4.5,2074,"PG-13"
"Eight Days a Week",1997,92,NA,5.9,791,"R"
"Eight Legged Freaks",2002,99,30000000,5.5,6362,"PG-13"
"Eighteenth Angel, The",1998,95,25000000,4.6,557,"R"
"Eko eko azaraku III",1998,95,NA,5.1,33,"R"
"El 'Che' Guevara",1968,88,NA,5.1,13,"PG-13"
"Election",1999,103,8500000,7.4,17521,"R"
"Electra",1996,87,NA,3.1,209,"R"
"Elektra",2005,96,43000000,4.9,5120,"PG-13"
"Elephant",2003,81,3000000,7.3,9203,"R"
"Elf",2003,95,33000000,7,10165,"PG"
"Elizabeth",1998,124,25000000,7.6,14733,"R"
"Ella Enchanted",2004,96,35000000,6.5,2502,"PG"
"Elling",2001,89,NA,7.6,3014,"R"
"Elsker dig for evigt",2002,113,NA,7.7,1068,"R"
"Elvira's Haunted Hills",2001,90,1500000,5.2,307,"PG-13"
"Elvis: That's the Way It Is",1970,94,NA,7,422,"PG"
"Embrace of the Vampire",1994,93,800000,4.2,1551,"R"
"Embrace the Darkness",1999,93,NA,2.8,88,"R"
"Emile",2003,92,NA,6.1,119,"R"
"Emma",1996,121,6000000,6.9,6431,"PG"
"Emmett's Mark",2002,104,4500000,6.2,427,"R"
"Emotional Backgammon",2003,93,NA,1.2,18,"R"
"Emperor's Club, The",2002,109,12500000,6.7,3056,"PG-13"
"Emperor's New Clothes, The",2001,107,NA,7.1,680,"PG"
"Empire",2002,90,3500000,6,1718,"R"
"Empire Records",1995,107,NA,6.2,8990,"PG-13"
"Emploi du temps, L'",2001,134,NA,7.2,1090,"PG-13"
"Employee of the Month",2004,97,NA,5.9,870,"R"
"Empty Mirror, The",1996,118,NA,4.8,110,"PG-13"
"End of Days",1999,121,83000000,5.3,18237,"R"
"End of Violence, The",1997,122,5000000,5.4,1575,"R"
"End of the Affair, The",1999,102,23000000,7,4808,"R"
"End of the Law",2003,88,NA,3.3,22,"R"
"Endangered Species",2002,94,NA,5.1,44,"R"
"Endurance",1999,83,NA,5.8,82,"PG"
"Enduring Love",2004,101,NA,6.5,559,"R"
"Enemy at the Gates",2001,131,70000000,7.3,19169,"R"
"Enemy of the State",1998,131,90000000,7.1,23263,"R"
"English Patient, The",1996,160,27000000,7.1,25210,"R"
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,99,NA,6.5,3265,"PG"
"Enigma",2001,119,NA,6.7,4291,"R"
"Enough",2002,115,38000000,4.9,4339,"PG-13"
"Enter the Dragon",1973,99,850000,7.4,8078,"R"
"Entertaining Angels: The Dorothy Day Story",1996,112,NA,5.6,123,"PG-13"
"Entrapment",1999,113,66000000,6.1,18543,"PG-13"
"Envy",1999,83,NA,6.2,96,"R"
"Envy",2004,99,40000000,4.3,3417,"PG-13"
"Epicenter",2000,99,NA,4,204,"R"
"Epsilon",1997,92,NA,5,95,"PG-13"
"Equilibrium",2002,107,20000000,7.6,17579,"R"
"Equinox Knocks",1999,111,NA,4.8,38,"R"
"Era of Vampire, The",2002,90,1000000,4.2,329,"R"
"Eraser",1996,115,100000000,5.8,14641,"R"
"Erin Brockovich",2000,130,51000000,7.3,24301,"R"
"Ernest Goes to Africa",1997,90,NA,3.3,198,"PG"
"Ernest in the Army",1998,85,NA,3.6,184,"PG"
"Eros",2004,104,NA,5.4,139,"R"
"Erotique",1994,84,NA,4.3,133,"R"
"Escanaba in da Moonlight",2001,91,1000000,5.5,373,"PG-13"
"Escape Velocity",1998,100,NA,3.7,90,"R"
"Escape from Cuba",2003,97,NA,5.7,19,"PG-13"
"Escape from L.A.",1996,101,50000000,4.8,7955,"R"
"Esmeraldero",2002,117,NA,3.1,10,"R"
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,"R"
"Essence of Echoes",2002,90,NA,1.9,23,"R"
"Essex Boys",2000,102,NA,5.4,410,"R"
"Est - Ouest",1999,121,NA,7.2,1266,"PG-13"
"Eternal Sunshine of the Spotless Mind",2004,108,20000000,8.6,46240,"R"
"Eu Tu Eles",2000,104,NA,7,535,"PG-13"
"Eulogy",2004,91,10000000,6.5,773,"R"
"EuroTrip",2004,90,25000000,6.1,8390,"R"
"Evasive Action",1998,91,NA,4.3,59,"R"
"Eve's Bayou",1997,109,5000000,7.2,2302,"R"
"Evelyn",2002,94,10000000,7.1,1163,"PG"
"EvenHand",2002,92,500000,7.3,169,"R"
"Evening Star, The",1996,129,NA,5.5,996,"PG-13"
"Event Horizon",1997,96,70000000,5.7,15510,"R"
"Event, The",2003,110,NA,6,276,"R"
"Ever After",1998,121,26000000,7,10250,"PG"
"Evergreen",2004,86,NA,5.1,99,"PG-13"
"Everlasting Piece, An",2000,103,14000000,6.1,475,"R"
"Everybody Loves Sunshine",1999,97,NA,4.6,171,"R"
"Everyone Says I Love You",1996,101,20000000,6.9,7314,"R"
"Everything Put Together",2000,87,500000,7.1,151,"R"
"Everything Relative",1996,110,NA,5.1,60,"R"
"Evicted",2000,99,NA,2.7,18,"R"
"Evil Alien Conquerors",2002,89,500000,3.8,111,"PG-13"
"Evil Dead, The",1981,86,350000,7.4,14407,"NC-17"
"Evil Ed",1997,93,NA,4.5,506,"R"
"Evil Eyes",2004,90,NA,3.9,19,"R"
"Evita",1996,134,55000000,6.2,8371,"PG"
"Evolution",2001,101,80000000,5.8,14232,"PG-13"
"Excalibur Kid, The",1999,88,NA,2.3,32,"PG"
"Excellent Cadavers",1999,106,NA,6.2,210,"R"
"Exception to the Rule",1997,98,NA,4.8,88,"R"
"Excess Baggage",1997,101,NA,4.8,2881,"PG-13"
"Executive Target",1997,92,NA,4.6,262,"R"
"Exit",1996,90,NA,3.4,47,"R"
"Exit Wounds",2001,101,33000000,5.3,5370,"R"
"Exit in Red",1996,97,NA,3,127,"R"
"Exorcism",2003,98,NA,5,42,"PG-13"
"Exorcist: The Beginning",2004,114,30000000,5,4130,"R"
"Exotic House of Wax, The",1996,85,NA,2.9,72,"R"
"Exotica",1994,103,NA,7.2,4494,"R"
"Expect No Mercy",1995,91,NA,3.2,78,"R"
"Experiment, Das",2001,119,NA,7.8,6601,"R"
"Explorers",1985,109,NA,6,1830,"PG"
"Exquisite Tenderness",1995,99,NA,4.1,147,"R"
"Extramarital",1999,90,NA,4.6,107,"R"
"Extreme Days",2001,93,NA,4.8,342,"PG"
"Extreme Force",2001,90,NA,4.6,22,"R"
"Extreme Measures",1996,118,38000000,5.9,3417,"R"
"Extreme Ops",2002,94,40000000,4,1337,"PG-13"
"Eye for an Eye",1996,101,20000000,5.6,1843,"R"
"Eye of God",1997,84,NA,7.5,437,"R"
"Eye of the Beholder",1999,109,15000000,4.5,5549,"R"
"Eye of the Wolf",1995,95,NA,4.2,28,"PG-13"
"Eyes Wide Shut",1999,159,65000000,7,37868,"R"
"Eyes of Tammy Faye, The",2000,79,NA,7.4,424,"PG-13"
"F-Zone, The",1999,101,NA,7,7,"PG-13"
"Fa yeung nin wa",2000,94,NA,8,7380,"PG"
"Facade",2000,93,6000000,4.8,93,"R"
"Face of the Serpent, The",2003,100,NA,5.1,24,"R"
"Face/Off",1997,133,80000000,7.1,37506,"R"
"Facing the Enemy",2001,98,NA,5,67,"R"
"Faculty, The",1998,104,15000000,6.1,13143,"R"
"Fade to Black",2004,109,NA,4.5,110,"R"
"Fahrenheit 9/11",2004,122,6000000,7.9,34666,"R"
"Fair Game",1995,91,50000000,3.9,2579,"R"
"FairyTale: A True Story",1997,99,NA,6.5,920,"PG"
"Faithful",1996,91,13000000,5.6,414,"R"
"Fakin' Da Funk",1997,89,NA,5.2,111,"R"
"Falcon Down",2000,93,NA,4.4,112,"R"
"Fall, The",1998,94,NA,5.2,78,"R"
"Fallen",1998,123,NA,6.7,9367,"R"
"Fallen Angel",1997,99,NA,3.9,26,"R"
"Fallen Angels",2002,97,NA,4.8,29,"R"
"Falling Down",1993,113,NA,7.3,14536,"R"
"Falling Sky",1998,95,NA,5.3,109,"R"
"Fallout",1998,90,NA,3.2,113,"PG-13"
"Falls, The",2003,85,75000,5.7,29,"R"
"Family Man, The",2000,125,60000000,6.5,11220,"PG-13"
"Family Plan",1998,102,NA,4.6,142,"PG"
"Family Thing, A",1996,109,NA,6.9,800,"PG-13"
"Famous",2000,90,NA,6.1,252,"PG-13"
"Fan, The",1996,114,55000000,5.4,6920,"R"
"Fangs",2001,94,NA,3,170,"PG-13"
"Fantasma dell'opera, Il",1998,106,10000000,3.8,910,"R"
"Fantastic Voyage",1966,100,NA,6.7,2098,"PG"
"Fantasticks, The",2000,86,NA,5.8,420,"PG"
"Far Harbor",1996,99,NA,5,95,"R"
"Far from Heaven",2002,107,13500000,7.7,9167,"PG-13"
"Fargo",1996,98,7000000,8.2,65597,"R"
"Farinelli",1994,111,NA,6.7,1176,"R"
"Farmhouse, The",1998,101,NA,5.5,28,"R"
"Fascination",2004,95,5000000,3.3,124,"R"
"Fast Food Fast Women",2000,95,NA,6.4,801,"R"
"Fast Money",1995,93,NA,5.5,306,"R"
"Fast Sofa",2001,109,NA,4,182,"R"
"Fast and the Furious, The",2001,106,38000000,5.7,21428,"PG-13"
"Fast, Cheap & Out of Control",1997,80,NA,7.3,988,"PG"
"Faster",2003,103,NA,6.4,93,"PG-13"
"Fat Albert",2004,93,NA,4.2,1062,"PG"
"Fatal Affair",1998,94,NA,4.9,82,"R"
"Fatal Conflict",2000,92,NA,2.3,47,"R"
"Fatal Pursuit",1998,103,NA,2.2,39,"R"
"Fate Totally Worse Than Death, A",2000,84,NA,3.9,42,"R"
"Fate ignoranti, Le",2001,109,NA,7.4,1216,"R"
"Father of the Bride Part II",1995,106,30000000,5.6,4089,"PG"
"Fathers' Day",1997,98,85000000,4.7,2714,"PG-13"
"Faust: Love of the Damned",2001,101,6000000,4.1,628,"R"
"Fear",1996,97,NA,5.6,4687,"R"
"Fear X",2003,91,6600000,5.9,742,"PG-13"
"Fear of Flying",2000,96,NA,4.6,612,"R"
"Fear of the Dark",2002,86,NA,5.5,355,"PG-13"
"Fear: Resurrection, The",1999,97,NA,2.8,165,"R"
"FearDotCom",2002,101,42000000,3.2,5126,"R"
"Feast at Midnight, A",1994,105,NA,6.5,130,"PG"
"Feast of July",1995,116,NA,6.2,161,"R"
"Feedback",2002,88,NA,5.5,87,"R"
"Feeling Minnesota",1996,99,NA,5.2,2602,"R"
"Fei ying gai wak",1990,80,NA,6.9,1840,"PG-13"
"Felicia's Journey",1999,116,NA,7,2519,"PG-13"
"Fellini: Je suis un grand menteur",2002,105,NA,6.7,97,"R"
"Felony",1996,93,NA,3.6,72,"R"
"Female Trouble",1974,97,25000,7.1,868,"NC-17"
"Femalien",1996,89,NA,4.8,208,"R"
"Femalien II",1998,92,NA,3.6,107,"R"
"Feminine Touch, The",1994,94,NA,4.6,45,"R"
"Femme Fatale",2002,114,35000000,6.4,6083,"R"
"Feng yue",1996,127,NA,6.8,506,"R"
"Feng yun xiong ba tian xia",1998,85,10000000,6.3,922,"PG-13"
"Festen",1998,105,1300000,8.2,11983,"R"
"Festival Express",2003,90,NA,7.3,305,"R"
"Festival in Cannes",2001,100,NA,6.4,207,"PG-13"
"Fetten Jahre sind vorbei, Die",2004,127,NA,7.9,1238,"R"
"Fever",1999,95,6000000,5.7,248,"R"
"Fever Pitch",1997,102,NA,6.7,1697,"R"
"Fever Pitch",2005,98,39690000,6.6,1712,"PG-13"
"Fifth Element, The",1997,126,90000000,7.1,55398,"PG-13"
"Fifth Ward",1998,110,NA,3.6,17,"R"
"Fight Club",1999,139,63000000,8.5,112092,"R"
"Fighting Temptations, The",2003,123,NA,5.2,1013,"PG-13"
"Fille sur le pont, La",1999,90,NA,7.4,2283,"R"
"Filth and the Fury, The",2000,108,NA,7.4,1172,"R"
"Final",2001,111,80000,5.2,330,"R"
"Final Curtain, The",2002,84,NA,5.4,86,"R"
"Final Cut",1998,93,NA,5.9,389,"R"
"Final Cut, The",2004,105,NA,6.2,1840,"PG-13"
"Final Destination",2000,98,23000000,6.6,16504,"R"
"Final Destination 2",2003,90,26000000,6.3,8481,"R"
"Final Fantasy: The Spirits Within",2001,106,137000000,6.5,16451,"PG-13"
"Final Solution",2001,110,1500000,7,32,"R"
"Final Vendetta",1996,95,NA,4.7,85,"R"
"Final Voyage",1999,93,NA,3.1,204,"R"
"Finder's Fee",2001,100,NA,5.9,330,"R"
"Finding Forrester",2000,136,43000000,7.3,13439,"PG-13"
"Finding Graceland",1998,106,10000000,6.6,504,"PG-13"
"Finding Home",2003,124,NA,5.3,26,"PG-13"
"Finding Kelly",2000,88,NA,4.3,61,"PG"
"Finding Neverland",2004,106,NA,8.1,17715,"PG"
"Finestra di fronte, La",2003,106,NA,7.6,1225,"R"
"Fire Down Below",1997,105,NA,4.3,2258,"R"
"Fire Over Afghanistan",2003,92,155000,4.5,67,"R"
"Firelight",1997,103,NA,6.9,705,"R"
"Firestorm",1998,89,19000000,4.4,987,"R"
"Firetrap",2001,97,NA,5.1,183,"R"
"Firm, The",1993,154,42000000,6.6,14708,"R"
"First $20 Million Is Always the Hardest, The",2002,105,NA,5.2,563,"PG-13"
"First 9 1/2 Weeks, The",1998,100,NA,3.5,130,"R"
"First Kid",1996,101,NA,4.9,1043,"PG"
"First Knight",1995,134,75000000,5.6,8708,"PG-13"
"First Love, Last Rites",1997,94,300000,5,147,"R"
"First to Go, The",1997,90,NA,5.4,119,"PG-13"
"Fish Don't Blink",2002,100,NA,2.7,22,"R"
"Fish Out of Water",1999,95,NA,4.1,27,"PG"
"Fish Without a Bicycle",2003,97,NA,4.5,39,"R"
"Fish in the Bathtub, A",1999,96,NA,5.7,68,"PG-13"
"Fists of Iron",1995,94,NA,3.7,34,"R"
"Five Aces",1999,95,NA,4.4,172,"R"
"Five Senses, The",1999,106,NA,6.9,1201,"R"
"Flareup",1969,100,NA,4.7,34,"PG-13"
"Flashfire",1993,88,NA,3.9,82,"R"
"Flawless",1999,112,27000000,6.1,3287,"R"
"Fled",1996,105,NA,5,1943,"R"
"Flesh for the Beast",2003,85,NA,3.8,136,"R"
"Fleur du mal, La",2003,101,NA,6.5,501,"R"
"Flight of Fancy",2000,96,NA,5.2,45,"PG"
"Flight of the Dove, The",1994,87,NA,4.3,95,"R"
"Flight of the Phoenix",2004,113,45000000,6,2732,"PG-13"
"Flintstones in Viva Rock Vegas, The",2000,90,58000000,3.7,1712,"PG"
"Flipping",1997,98,NA,4.5,54,"R"
"Flor de mi secreto, La",1995,103,NA,7.1,1163,"R"
"Flossin",2001,81,86000,7.9,7,"PG-13"
"Floundering",1994,96,NA,5.3,425,"R"
"Flubber",1997,90,NA,4.6,5102,"PG"
"Fluke",1995,96,NA,6,709,"PG"
"Fly Away Home",1996,110,NA,6.9,3027,"PG"
"Flying Virus",2001,95,NA,3.5,179,"R"
"Flypaper",1997,108,NA,4.8,210,"R"
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",2003,107,NA,8.4,3416,"PG-13"
"Follow Your Heart",1998,115,NA,5.8,29,"PG"
"Following",1998,69,6000,7.6,3197,"R"
"Fond Kiss..., Ae",2004,104,NA,7.3,740,"R"
